wkb_geometry;id;descr;fumetto;link
"POINT (665863.661197894 5101755.54260419)";25;Restauro e cura del monumento ai caduti di Villazzano;Restauro e cura del monumento ai caduti di Villazzano;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-per-il-restauro-e-cura-del-monumento-ai-caduti-di-Villazzano
"POINT (663380.979154325 5102909.34834123)";28;Passeggiata lungo un fiume di opere;Passeggiata lungo un fiume di opere;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Passeggiata-lungo-un-fiume-di-opere
"POINT (663931.079531247 5102410.74843749)";30;La scuola fuori dalla scuola;La scuola fuori dalla scuola;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-La-scuola-fuori-dalla-scuola
"POINT (663131.72958987 5100443.90669973)";40;Ravina: alla mia scuola ci penso io ;Ravina: alla mia scuola ci penso io ;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Ravina-alla-mia-scuola-ci-penso-anch-io
"POINT (663843.640478221 5104509.95182603)";31;Quest' aiuola non fa piu' pieta';Quest' aiuola non fa piu' pieta';http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Quest-aiuola-non-fa-piu-pieta
"POINT (662500.477446458 5107291.25260912)";32;Ronca Camp! 2.0;Ronca Camp! 2.0;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Proposte-di-collaborazione/Proposte-dei-cittadini/Ronca-Camp%21-2.0
"POINT (663674.941996446 5103033.99427132)";33;Un murales per le Albere;Un murales per le Albere;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Un-murales-per-le-Albere
"POINT (664441.158333351 5104049.08479172)";34;San Marco: Bene Comune;San Marco: Bene Comune;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Proposte-di-collaborazione/Proposte-dei-cittadini/San-Marco-Bene-Comune
"POINT (663463.269791312 5103173.7895835)";27;Orto come bene comune: tra territorio e comunità;Orto come bene comune: tra territorio e comunità;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-collaborazione-Orto-come-bene-comune-tra-territorio-e-comunita
"POINT (663444.687889624 5103159.02645748)";35;"Fiori dalla fabbrica: Trento, Michelin 1927 - 1999";"Fiori dalla fabbrica: Trento, Michelin 1927 - 1999";http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Proposte-di-collaborazione/Proposte-dei-cittadini/Fiori-dalla-fabbrica-Trento-Michelin-1927-1999
"POINT (663176.543590213 5108243.16589015)";36;Curiamo il monumento;Curiamo il monumento;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Curiamo-il-Monumento
"POINT (664964.732617016 5097005.38660614)";37;Progetto STRA.BENE azioni di cura proposte da parte dell'Istituto Comprensivo Aldeno Mattarelllo;Progetto STRA.BENE azioni di cura proposte da parte dell'Istituto Comprensivo Aldeno Mattarelllo;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Proposte-di-collaborazione/Proposte-dei-cittadini/Progetto-STRA.BENE-azioni-di-cura-proposte-da-parte-dell-Istituto-Comprensivo-Aldeno-Mattarello
"POINT (663762.692609042 5104303.46868061)";38;Progetto STRA.BENE azioni di cura proposte dall'Istituto Comprensivo Trento 6;Progetto STRA.BENE azioni di cura proposte da parte dell'Istituto Comprensivo Trento 6;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Progetto-STRA.BENE-azioni-di-cura-proposte-da-parte-dell-Istituto-Comprensivo-Trento-6
"POINT (664092.59344604 5103055.36818666)";39;Progetto STRA.BENE azioni di cura proposte da parte dell'Istituto Arcivescovile;Progetto STRA.BENE azioni di cura proposte da parte dell'Istituto Arcivescovile;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Progetto-STRA.BENE-azioni-di-cura-proposte-da-parte-dell-Istituto-Arcivescovile
"POINT (663900.765374737 5103089.51741885)";41;Rigenerazione urbana con un murale sul tema comunita' e cooperazione;Rigenerazione urbana con un murale sul tema comunita' e cooperazione;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Proposte-di-collaborazione/Proposte-dei-cittadini/Rigenerazione-urbana-con-un-murale-sul-tema-comunita-e-cooperazione
"POINT (662844.6744392 5108961.99418237)";42;Coloriamo Gardolo;Coloriamo Gardolo;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Coloriamo-Gardolo
"POINT (664087.771629697 5102167.79142331)";43;Giochiamoci il cortile;Giochiamoci il cortile;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Giochiamoci-il-cortile
"POINT (664347.788737996 5104307.89507803)";44;Workshop Chiasma 2019;Workshop Chiasma 2019;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Workshop-Chiasma-2019
"POINT (664272.55463603 5102352.68486397)";48;Degrade' - un progetto di street art per la cura dei quartieri lungo il Fersina;Degrade' - un progetto di street art per la cura dei quartieri lungo il Fersina;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Degrade-un-progetto-di-street-art-per-la-cura-dei-quartieri-lungo-il-Fersina
"POINT (657975.236856611 5103279.16510695)";86;Sala lettura presso S. Anna;Sala lettura presso S. Anna;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Patto-di-Collaborazione-Sala-lettura-presso-S.Anna
"POINT (665451.23866132 5100797.74927837)";46;Progetto STRA.BENE azioni di cura proposte dalla scuola Steiner;Progetto STRA.BENE azioni di cura proposte dalla scuola Steiner;http://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Progetto-STRA.BENE-azioni-di-cura-proposte-da-parte-della-Scuola-Steiner
"POINT (663448.188360466 5109050.94298837)";49;Il parco e' anche mio;Il parco e' anche mio;https://www.comune.trento.it/Aree-tematiche/Beni-comuni/Patti-di-collaborazione-e-adesioni/Il-parco-e-anche-mio
