wkb_geometry;descrizione;tipologia;tratto isolato ciclabile;tratto isolato ciclopedonale;anno;gestione;itinerario;Tipo CdS;Ordinanza;Monodirezionale;intervento 2026;Esist_prog
"LINESTRING (663619.264311961 5101935.75510728,663671.179686807 5101957.37425771,663682.7981418 5101935.16683107,663672.797446363 5101929.28406905,663657.061057953 5101922.22475462,663637.500874229 5101916.0478545)";Sottopasso ciclabile via Jedin;Ciclabile;;130;2024;;"0";1.1 PCSP;;;;E
"LINESTRING (663426.467250823 5101209.47915277,663530.840361357 5101293.40517604)";Pista ciclabile da ponte di Ravina fino a via di Costa S. Nicol�;Ciclopedonale;;;2017;;"13";2.1 PRO PED;;;;E
"LINESTRING (664883.515891817 5101762.94643028,664884.462254323 5101749.69981156,664884.535322197 5101700.80286885,664883.302276574 5101683.29362101)";Percorso ciclabile - viale Verona (da ingresso Questura al civ. 4/1);Ciclabile;;;;;"4";1.3 PCCR marc;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664883.515891817 5101762.94643028,664875.237593165 5101787.48191954,664871.46459806 5101795.07585327,664870.914244902 5101800.46647332,664871.852775501 5101804.89185306,664873.333217854 5101807.95775432,664876.37118927 5101810.70124219,664881.601369082 5101812.81465932,664879.177072505 5101822.08759372,664872.597345457 5101821.8649158,664869.809108381 5101822.65074962,664867.380092848 5101823.62604861,664862.04708503 5101827.18965539)";Percorso ciclopedonale - viale Verona (dal civ.176 di viale Verona alla rotatoria viale degli Olmi);Ciclopedonale;;;;;"4";2.1 PRO PED;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (663580.512698531 5102085.980995,663540.57 5102067.15,663489.863095585 5102053.36276634)";Pista ciclabile via del Maso Smalz: tratto tra il civ. 11 e il passo carraio est del civ.17;Strada ciclabile urbana;;;2023;;"6";3.2 SUC E-bis;;;;E
"LINESTRING (665207.527313951 5101793.68688528,665193.974901969 5101645.40791732)";Percorso ciclopedonale San Bartolomeo: tratto RSA - stazione;Ciclopedonale;;130;;;"0";2.1 PRO PED;;;;E
"LINESTRING (662448.14132143 5107325.10449078,662454.845948158 5107325.10449078,662463.645770738 5107317.14274654,662468.6 5107309.2,662473.9 5107311.6,662497.2 5107331.8,662502.197374425 5107334.7423917,662518.120862904 5107341.44701843)";Pista ciclabile nel nuovo parco a Roncafort;Ciclabile;87;;2020;;"0";1.1 PCSP;1003/2020;;;E
"LINESTRING (665491.218539144 5101131.86917218,665490.17407153 5101129.6544964,665492.53829865 5101106.25402115,665499.093655667 5101077.13104161,665503.338517998 5101062.48895319,665515.723844166 5101036.32125756,665528.055437898 5101015.20441078,665537.430706928 5101002.20539379,665511.323699511 5100982.08562969,665496.628761526 5100971.11124071,665493.087663746 5100963.21866922,665492.989864144 5100949.08070873)";Percorso ciclopedonale - via Conci via Tambosi;Ciclopedonale;;300;;;"0";2.1 PRO PED;;;;E
"LINESTRING (664694.271849078 5100208.94704781,664691.664925115 5100270.86149194,664695.805664255 5100353.64537369,664722.018172337 5100353.29703471,664764.007065092 5100666.46220334,664783.75 5100665.4)";Percorso ciclopedonale lottizzazione Madonna Bianca;Ciclopedonale;;510;2021;;"4";2.1 PRO PED;;;NESSUNO;E
"LINESTRING (664691.018834147 5100776.80427108,664691.860230662 5100775.63566481,664695.544410021 5100774.96136738,664699.201969289 5100777.22557073,664710.17464709 5100779.66394358,664721.234409636 5100783.14733336,664727.765765471 5100789.06909598,664734.297121305 5100803.78641779,664739.957629695 5100811.88529903,664747.272748229 5100815.36868881,664747.111935192 5100819.57526063,664747.111935192 5100819.57526063)";Percorso ciclopedonale posto lungo il lato sud di via Bartali nel tratto di strada prospicente il numero civico 21 della medesima via;Ciclopedonale;;;2021;;"0";2.1 PRO PED;1114/2021;;;E
"LINESTRING (664118.107221957 5102065.65855269,664122.657688707 5102075.32439044,664096.599316314 5102089.13368074,664101.589030548 5102099.22750222)";Pista ciclabile - via Fersina;Ciclabile;;;;;"7";1.3 PCCR marc;;;;E
"LINESTRING (663530.840361357 5101293.40517604,663606.70394284 5101354.40670641,663609.421098384 5101361.05855331,663610.178742723 5101367.35235486)";Percorso ciclopedonale sul ponte di Ravina;Ciclopedonale;;;2017;;"1";2.1 PRO PED;;;;E
"LINESTRING (664862.04708503 5101827.18965539,664858.442137109 5101829.2071033,664855.167918356 5101832.23327518,664842.004897509 5101855.71504604,664832.016876666 5101874.43431689,664817.134064151 5101903.60462942,664816.17730375 5101920.35257997,664811.715217065 5101929.80170471,664810.188751644 5101936.04916071,664813.044886837 5101954.8663624)";Percorso ciclabile - viale Verona (dalla rotatoria viale degli Olmi all'intersezione viale dei Tigli);Ciclabile;;;;;"4";1.3 PCCR marc;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664813.044886837 5101954.8663624,664800.755915081 5101958.94582724,664795.400863836 5101960.49597365,664791.059611264 5101963.36706414,664779.11808916 5102000.48260582)";Percorso ciclopedonale - viale Verona (dall'intersezione viale dei Tigli al civ.156 di viale Verona);Ciclopedonale;;;;;"4";2.1 PRO PED;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664513.62866835 5101629.90830983,664490.907546984 5101656.7828536,664484.73351355 5101665.23823733)";Pista ciclabile - via A. Degasperi: tratto fronte civ.51;Ciclabile;;;;;"3";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664925.303824122 5100985.8847457,664922.032541957 5101001.32895263,664919.893616901 5101021.55724726,664916.006076786 5101058.15782935,664909.578952558 5101112.82038692,664905.466928888 5101142.51689463,664898.738777882 5101163.43634754,664896.338561177 5101182.66028733,664896.747155946 5101190.26297977,664897.25783988 5101197.03259358,664895.465273544 5101217.88635104,664891.183584607 5101273.33460903,664891.20912933 5101278.74147775,664893.715172542 5101282.0145436,664893.027314604 5101289.9252161,664892.527095476 5101294.17656911,664894.418754617 5101298.54540016,664891.347899263 5101307.6770982,664889.837418375 5101339.5205014,664882.70816617 5101380.86004173,664876.921629315 5101412.02533205,664876.690118898 5101423.93158206,664877.719805374 5101443.17049419,664879.435170984 5101503.20736339,664880.5556412 5101545.42128479,664880.497097783 5101566.61667896,664882.130883233 5101569.66846688,664882.014858487 5101590.42064473,664882.624101482 5101650.52543359)";Percorso ciclabile - viale Verona: tratto da via Menguzzatoi all'ingresso della Questura;Ciclabile;;;;;"4";1.3 PCCR marc;;;REVISIONE CON MANUTENZIONE;E
"LINESTRING (664308.688088318 5101848.74524493,664295.236920018 5101860.40185453,664294.133439151 5101867.25759271,664297.026339121 5101871.73774396,664302.493957187 5101875.21256675,664304.613243659 5101883.95562243,664301.850953909 5101892.12937347,664294.92174429 5101898.57401623,664280.886790943 5101904.06651747,664272.512170749 5101902.69650997,664266.37253788 5101897.64512003,664261.444556749 5101896.29568683,664254.151791833 5101900.23054121,664246.663424126 5101908.93340613)";Pista ciclabile - via A. Degasperi:  tratto in rotatoria e fino civ.17;Ciclabile;;;;;"3";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (664484.73351355 5101665.23823733,664466.720751473 5101687.38477193,664442.996273775 5101713.84172167,664427.922734026 5101729.37948036,664415.671230017 5101743.19850789,664408.74084479 5101750.93839605,664388.413607203 5101770.07152069,664361.714790664 5101796.99039311,664338.57100021 5101820.36803097,664308.688088318 5101848.74524493)";Pista ciclabile - via A. Degasperi: tratto dal civ.17 al civ.51;Ciclabile;;;;;"3";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664601.552684416 5101539.03419914,664592.884604019 5101536.18372284,664587.676251785 5101536.98508862,664583.43423352 5101539.39369221,664554.828601876 5101581.93593693,664545.940776267 5101591.76569482,664536.781993686 5101602.81671331)";Pista ciclabile - via A. Degasperi: tratto dal civ.61 allla rotatoria via Fermi;Ciclabile;;;;;"3";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (664824.125965785 5100967.32623766,664831.90565673 5100961.59794712,664841.220592289 5100958.24566876,664853.426948394 5100957.19472766,664859.117803469 5100957.4353992,664871.662844188 5100961.67321406,664880.239066197 5100967.48168267,664889.261887544 5100977.05577429,664904.143360656 5100967.73896432,664907.895792463 5100968.23012555,664910.336114829 5100970.61310109,664916.217342974 5100983.7282649,664925.303824122 5100985.8847457)";Percorso ciclabile - viale Verona: tratto da via Menguzzato all'intersezione con via Degasperi;Ciclabile;;;;;"4";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (664824.125965785 5100967.32623766,664813.843136736 5100979.30561585,664797.416985781 5101001.92219484,664793.876860694 5101013.46772256,664785.874307335 5101024.75060452,664775.085677155 5101032.60642395)";Pista ciclabile - via A. Degasperi: tratto da ingresso del palazzo Stella a rotatoria viale Verona;Ciclabile;;;;;"3";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664756.824005165 5101056.38320463,664722.56111695 5101102.65905072,664699.802016619 5101133.06231716,664683.533825351 5101157.3086789,664675.529667347 5101172.32946892,664673.008877326 5101180.04776414,664671.63495579 5101186.1886028,664661.158565476 5101215.13092422,664655.285384602 5101238.36377246,664652.218856536 5101254.0082631,664648.37270269 5101278.54048763,664644.42259874 5101304.52801362,664638.731330548 5101340.41678701,664635.378939696 5101363.05192215,664631.558773376 5101377.52697412,664624.776029093 5101420.19849179,664622.826964644 5101432.04880364,664622.125301442 5101446.23799283,664616.849833667 5101466.66418826,664613.706551756 5101497.24883935,664612.684933802 5101513.87990341,664612.325660075 5101525.55904489,664612.229628693 5101528.68079863,664608.534909307 5101532.98620358,664601.552684416 5101539.03419914)";Pista ciclabile - via A. Degasperi: tratto dalla rotatoria di via Fermi al civ.77;Ciclabile;;;;;"3";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (663996.496380719 5101713.33955695,664001.36058831 5101731.55538745,664007.724731116 5101753.8452916,664013.599210469 5101765.00025723,664024.675270037 5101781.25281102,664033.700549039 5101794.89154901,664040.227985244 5101813.86992399,664047.660217656 5101833.5494295,664050.563007053 5101840.98152986,664051.169095359 5101847.66007461,664050.098573699 5101865.38205933,664050.466330949 5101876.83903143,664051.542278359 5101888.85376811,664053.895619444 5101902.85807881,664055.951760069 5101913.53445969,664060.119240974 5101926.79670144)";Pista ciclabile - via Fersina: tratto dal civ.4 di via Padre Eusebio Iori al civ.78;Ciclabile;;;;;"7";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664060.119240974 5101926.79670144,664064.052418066 5101939.23497152,664073.348184468 5101964.39335236,664091.905381246 5102010.00212114,664118.107221957 5102065.65855269)";Pista ciclabile - via Fersina: tratto dal ponte Santa Barbara al civ.4 di via Padre Eusebio Iori;Ciclabile;;;;;"7";3.1 PRO CARR;;;NESSUNO;E
"LINESTRING (664007.45550045 5106535.5743041,664006.483204747 5106489.39025823,664006.483204747 5106470.43049203,664008.913944004 5106461.19368285,664009.886239706 5106441.7477688,664014.747718219 5106426.67718541,664023.984527393 5106399.45290574,664026.41526665 5106395.07757508,664033.221336568 5106391.18839227,664038.568962932 5106373.20092177,664047.319624255 5106353.26885987,664053.15339847 5106343.05975499,664057.528729132 5106315.83547532,664064.820946901 5106290.55578705,664074.077504193 5106269.61174259)";"Percorso promiscuo pedonale e ciclabile – Valsugana (tratto Ponte Alto- Centochiavi):  tratto da Salita Dalla Fior a Via Bassano,4";Ciclopedonale;;;2023;PAT;"2";2.1 PRO PED;;;;E
"LINESTRING (664007.45550045 5106535.5743041,664007.81 5106544.77,663994.824999454 5106607.92844049,663990.988541117 5106628.56594052,663981.198957773 5106666.93052389,663976.304166102 5106677.6461489,663968.366666094 5106701.59094059,663958.577082751 5106734.66385729,663954.608332746 5106746.1732323,663947.067707739 5106748.9513573,663930.928124389 5106750.47271147,663924.523352941 5106752.26182353)";Strada: Salita Dalla Fior;Strada;;;2023;;"2";3.1 PRO CARR;;;;E
"LINESTRING (664074.077504193 5106269.61174259,664104.428492673 5106279.38113852)";Strada: Via Bassano civ. 4;Strada;;;2023;;"2";3.1 PRO CARR;;;;E
"LINESTRING (665017.468173808 5104707.39505318,665016.657 5104696.891,665013.58676946 5104689.84778699,665009.051101891 5104677.54818519,665021.31 5104657.5,665045.44 5104613.5,665069.5 5104583.0,665090.75 5104548.5,665107.635203462 5104523.59493068,665132.44 5104492.5,665141.471908034 5104495.38517255,665153.47 5104494.5,665165.92 5104501.11,665170.36 5104501.62,665174.75 5104500.62,665178.46 5104496.9,665183.71 5104488.37,665187.29 5104486.04,665197.7 5104483.22,665206.83 5104482.36,665211.37 5104482.97,665216.01 5104484.57,665220.98 5104487.45,665224.67 5104490.53,665228.18 5104494.96,665231.58 5104501.77,665234.33 5104512.4,665235.329374598 5104517.36777662)";Strada: Via degli Olivi;Strada;;;;;"2";3.1 PRO CARR;;;;E
"LINESTRING (664647.48906397 5096167.84027676,664641.938811764 5096144.02464912,664636.489473235 5096123.74100015,664623.59912216 5096094.09094807,664573.822080147 5096037.91391831,664545.868991765 5096005.77291235,664525.383515441 5095983.21870566,664503.182506618 5095958.39394125,664495.210326176 5095947.19252316)";Percorso ciclopedonale - localita Grezzi;Ciclopedonale;;400;;;"4";2.1 PRO PED;;;;E
"LINESTRING (663230.637389963 5108111.27405901,663226.672140294 5108104.40885062,663218.623275294 5108102.45581721,663222.489276977 5108086.2621339,663221.376882166 5108080.70015985,663215.472632789 5108076.25058061,663217.982858272 5108066.93845381,663223.223890369 5108068.01615127,663227.426948323 5108065.86208407,663230.053859544 5108061.18618209,663286.808276473 5107831.39712304)";Pista ciclabile via IV Novembre. tratto dal centro natatorio a via Feininger;Ciclabile;;;2024;;"4";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (663838.933550661 5105727.23500122,663839.25136878 5105711.08330213,663842.349466872 5105700.56283773,663851.108191284 5105675.0356022,663833.968924 5105666.78357663,663878.035197058 5105557.98759011,663891.80124715 5105527.68025423,663894.972945092 5105522.94473299,663897.990463272 5105520.89634474,663901.646726176 5105519.92721481,663903.827268512 5105518.37440435,663905.875656765 5105514.6190259)";Pista ciclabile - via del Brennero (tratto dalla rotonda dei caduti di Nassirya al confine sud del parcheggio Lidl);Ciclabile;;;;;"4";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (661565.471335003 5110198.0508167,661575.966965362 5110189.85714549,661694.930575492 5110047.43932768,661702.023256854 5110043.892987,661715.993792507 5110044.99453026)";Percorso ciclopedonale - lungo Adige (tratto di collegamento con via Cesare Beccaria);Ciclovia PAT_Itinerario Eurovelo-Bicitalia;;;;PAT;"0";2.1 PRO PED;;;;E
"LINESTRING (662544.11893537 5107392.71209342,662558.479083137 5107384.73423355,662572.404074912 5107384.58918155,662625.028509947 5107406.88595819,662633.180861927 5107393.43735341,662647.250905699 5107370.66418978)";Pista ciclabile - sottopasso ferrovia Brennero;Ciclabile;200;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (665059.117680418 5100411.05233263,665073.507212543 5100406.05877758,665084.320404404 5100399.84727151,665094.144998234 5100386.56492401,665098.637348277 5100375.25412259,665108.749437462 5100376.12362587,665117.228193156 5100397.91560445,665118.994934358 5100425.80778569)";Percorso ciclopedonale - via C. Menguzzato Veglia;Ciclopedonale;;120;;;"0";2.1 PRO PED;;;;E
"LINESTRING (666022.079148656 5100289.61438672,666025.066911757 5100286.62662361,666029.483605037 5100287.08128322,666032.081659908 5100289.74428946,666031.367194819 5100304.48825085,666066.76569243 5100305.39757005,666067.86986575 5100312.83450212,666068.259573981 5100327.09132822,666063.193366983 5100328.13055017,666065.141908136 5100371.42063945,666082.289070282 5100373.62898609,666071.637045313 5100420.65377925)";Percorso ciclopedonale - via al bosco della citta;Ciclopedonale;;400;;;"0";2.1 PRO PED;;;;E
"LINESTRING (663874.517759279 5106331.95377868,663878.616480576 5106318.4757015,663784.883558 5106281.10097107,663776.046808545 5106277.49450207,663769.366186485 5106272.70287166)";Pista ciclabile - via G. Gilli;Ciclabile;;;;;"4";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664963.680042968 5099947.71463805,664973.229688732 5099949.8914334,664980.254702451 5099928.0267576,664982.549145774 5099910.34348964,664986.245243814 5099903.77304398,664998.319555784 5099898.49077199,665005.159292439 5099893.87496055,665010.973414708 5099890.53626991,665015.751634199 5099888.07573853,665022.761341365 5099875.75798863,665017.04918383 5099870.6675112,665016.646380145 5099864.71356765,665023.309205751 5099859.1306826,665030.796836171 5099853.14663941)";Pista ciclabile - via di Madonna Bianca;Ciclabile;120;;;;"4";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (662964.774909345 5106321.51003833,662984.418306026 5106290.55484669,662988.498377218 5106287.92436181,662992.245091954 5106286.53105464,662996.745594464 5106287.13402172,663000.361697911 5106288.81143173,663010.616316218 5106285.51410997,663013.911233777 5106276.73587203,663016.786987876 5106266.10014002,663015.873730691 5106254.94114084,663014.525529821 5106249.99054135,663016.533336155 5106239.98827025,663021.750516606 5106230.12787704)";Pista ciclabile rotatoria via Detassis;Ciclabile;145;;;;"5";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (662330.450945322 5110786.12597186,661994.012495242 5110546.57673549,661788.269803648 5110408.8255442,661565.471335003 5110198.0508167,661520.553377492 5110155.73297594,661509.213039342 5110137.82717886,661478.325539381 5110146.97903069,661446.542749567 5110161.50262166,661437.390897727 5110159.71204195,661431.024392099 5110149.96333021,661421.076727055 5110115.94231576,661411.328015313 5110088.28780694,661390.835825323 5110052.27725948,661355.571352743 5109963.34513399,661338.710060494 5109934.09899876,661313.641944584 5109905.44972344,661282.008369745 5109874.4130085,661272.060704702 5109864.26639016,661265.495245773 5109854.71663172,661266.688965578 5109844.76896667,661281.610463144 5109820.49666397,661283.798949453 5109808.16155931,661277.979565402 5109791.64843533,661263.107806163 5109778.51751748,661223.71505259 5109761.00962701,661206.804022016 5109755.04102798,661186.908691929 5109751.85777517,661172.385100965 5109742.50697002,661118.070849827 5109683.51731632,661086.337798337 5109648.60101201,661078.976526205 5109628.30777532,661073.334664868 5109602.99102557,661089.023667899 5109534.50129396,661177.980557621 5109139.55975735,661488.77412664 5107786.81835711,661560.427409398 5107568.04059349,661632.644443913 5107353.6891152,661647.485583448 5107322.43901822,661662.307604363 5107309.50705366,661706.176807205 5107293.39183629)";Percorso ciclopedonale - lungo Adige (tratto dal  ponte di Lavis allo svincolo di collegamento con via Innsbruck);Ciclovia PAT_Itinerario Eurovelo-Bicitalia;;;;PAT;"1";2.1 PRO PED;;;;E
"LINESTRING (656971.435507657 5104864.17275549,657038.821097538 5104796.05471355,657053.103912784 5104788.73019291,657062.625789615 5104789.82887101,657071.04898835 5104802.64678213,657068.119180094 5104812.53488499,657056.03372104 5104821.32430976,657038.821097538 5104831.21241262,657028.566768643 5104845.12900183,657026.277855943 5104857.85535644,657026.912025716 5104860.8021746,657030.397898803 5104867.74345931,657043.398922937 5104876.8075536,657052.646130244 5104877.72311868,657061.120534557 5104876.89901566,657066.745832474 5104872.96218026)";Percorso ciclopedonale zona Vigolo Baselga-Terlago: tratto dall'intersezione con località Brusadi all'intersezione con strada di Ariol;Ciclovia PAT_Itinerario Regionale;;;;PAT;"0";2.1 PRO PED;;;;E
"LINESTRING (663905.875656765 5105514.6190259,663929.04667228 5105459.90723641)";Pista ciclabile - via del Brennero (tratto dal confine sud del parcheggio Lidl al passo carraio del civ.79);Ciclopedonale;;;;;"4";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (663021.750516606 5106230.12787704,663141.714936748 5106037.2111783)";Percorso ciclopedonale tra l'incrocio con via Caduti di Nassiriya (cavalcavia ferrovia) e l'intersezione con via Detassis;Ciclopedonale;;;2017;;"5";2.1 PRO PED;;;MANUTENZIONE;E
"LINESTRING (657373.11 5104874.28,657373.116797335 5104882.08921965,657381.906222102 5104912.66909332,657384.28669131 5104970.8990324,657390.329420838 5105034.25613593,657393.259229093 5105050.37008134,657409.739400531 5105086.80957152,657427.135137049 5105123.61528773,657452.770959287 5105147.96931886,657467.236887549 5105175.25315824,657485.731302163 5105209.86151826)";Percorso ciclopedonale zona Vigolo Baselga-Terlago: tratto dall'intersezione con strada di Ariol al primo incrocio con la strada interpoderale;Ciclovia PAT_Itinerario Regionale;;;;PAT;"0";2.1 PRO PED;;;;E
"LINESTRING (657406.992705292 5105280.54314242,657414.683451963 5105351.04165358,657420.909294506 5105365.14135581,657542.885452276 5105466.72330142)";Percorso ciclopedonale zona Vigolo Baselga-Terlago: tratto dal secondo incrocio con la strada interpoderale al confine catastale;Ciclovia PAT_Itinerario Regionale;;;;PAT;"0";2.1 PRO PED;;;;E
"LINESTRING (663480.80661386 5106469.52343932,663476.904009689 5106478.9822935,663472.769895102 5106484.83619975,663465.328488844 5106490.02864768,663459.276145088 5106496.47786643,663449.585780494 5106515.92474145,663444.690988822 5106519.99271021,663438.109478399 5106522.87005396)";Pista ciclabile lato ovest rotatoria Bren Center;Ciclabile;70;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (663729.245798862 5107512.17487147,663699.209973849 5107510.80962816,663645.770864384 5107513.93612107,663639.326627768 5107511.34739444,663636.699716548 5107506.51387779,663643.844915068 5107421.24433956)";Percorso pedonale e ciclabile in via Salterio;Ciclopedonale;;;2016;;"0";2.1 PRO PED;;;;E
"LINESTRING (663781.769245976 5105777.33870441,663777.142074438 5105753.45647688,663769.78674603 5105740.93827372,663762.855763491 5105731.31976734,663778.990553396 5105696.54578631,663781.630529159 5105694.60980408,663785.810490786 5105693.68581256,663790.694445949 5105695.18179883,663794.47841121 5105697.51377742,663804.928315276 5105699.51575904,663813.992232065 5105697.32677914,663818.172193691 5105688.13086356)";Pista ciclabile - sottopasso via del Brennero;Ciclabile;;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (663397.8 5105137.65,663460.705 5105065.855,663505.52 5105009.14,663539.725 5104957.515,663573.0 5104899.16,663596.885 5104850.185)";Lungadige L. Braille;Strada;;;;;"1";3.1 PRO CARR;;;;E
"LINESTRING (663398.195 5105136.235,663361.055016265 5105162.620824,662807.29 5105542.05)";Lungadige L. Braille;Strada;;;;;"1";3.1 PRO CARR;;;;E
"LINESTRING (663723.288458742 5106003.07800643,663818.009292172 5106041.4425898,663820.919708841 5106044.35300647)";Pista ciclabile - via De Gresti;Ciclabile;;;2023;;"0";1.3 PCCR marc;;;;E
"LINESTRING (663721.158744229 5105988.89009788,663765.486734365 5105882.90982662,663776.029274439 5105866.6336244)";Pista ciclabile - via del Brennero: tratto da via De Gresti al civ. 260/H di via del Brennero;Ciclabile;;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (663106.309565684 5106262.67795653,663088.148876878 5106256.22852118,663063.03127777 5106270.30083679,663015.873730691 5106254.94114084)";Pista ciclabile c/o uffici comunali in via Maccani;Ciclabile;;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (664231.127077219 5100190.89156865,664223.427607448 5100190.08262953,664215.876883269 5100181.44652687,664215.231746298 5100167.36989532,664221.280981717 5100151.04314813,664227.078317873 5100141.05621298,664300.568717 5100121.65084198,664347.076101499 5100108.90099193,664376.709655653 5100104.78762541,664393.831363124 5100103.22932174,664398.252193272 5100106.79529523,664403.246309054 5100156.37263462,664405.555111582 5100158.59960873)";Percorso ciclopedonale - lungo Adige - tratto nord sul raccordo al casello sud A22;Ciclovia PAT_Itinerario Eurovelo-Bicitalia;;;;PAT;"1";2.1 PRO PED;;;;E
"LINESTRING (662383.396122682 5107835.2110358,662407.415728422 5107822.74664725,662425.519608909 5107810.66977338,662443.623455832 5107803.42363884,662456.899623667 5107793.76216018,662466.555015406 5107782.89298391,662476.210407144 5107767.19301724,662477.417310134 5107749.07770644,662478.624246688 5107728.54700044,662460.520399765 5107697.14711816,662450.746117637 5107678.40351879,662436.381903637 5107651.2550179,662427.525648161 5107629.05761774,662428.443641249 5107605.8218631,662433.560263802 5107583.62451402,662436.381903637 5107555.84767348,662431.55422455 5107528.07088401,662431.55422455 5107500.29404347,662431.55422455 5107484.59412787,662437.00825732 5107472.42513004)";Pista ciclabile sul sovrapasso alla ferrovia tra loc. Roncafort e Gardolo;Ciclabile;420;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (663765.403503316 5106946.88235734,663771.536901201 5106940.62193575,663778.996755527 5106935.44977008,663796.012872909 5106927.58319842,663843.730741035 5106909.47796617,663863.296116015 5106904.69121532,663875.628142149 5106898.68930046)";Pista ciclabile - parco di Melta;Ciclabile;;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (664651.499552163 5099493.46719903,664351.510284785 5099443.23268673)";Percorso ciclopedonale presso aeroporto;Ciclovia PAT_Itinerario Eurovelo-Bicitalia;;;;PAT;"0";2.1 PRO PED;;;;E
"LINESTRING (657897.094692562 5105718.18325062,657946.901432908 5105681.01130837)";Percorso ciclopedonale zona Vigolo Baselga-Terlago: tratto dal confine catastale al primo incrocio della strada interpoderale di destra;Ciclovia PAT_Itinerario Regionale;;;;PAT;"0";2.1 PRO PED;;;;E
"LINESTRING (663499.805493543 5109902.9142867,663486.844779089 5109914.76118975,663477.630521157 5109921.64656931,663462.543439488 5109928.63320444,663456.45 5109932.66,663441.828072021 5109943.55071688)";"Corsia ciclabile per doppio senso ciclabile in via delle Vecchie Pontare, tratto tra i civ. 2-2A";Corsia ciclabile per doppio senso ciclabile;;;2021;;"0";3.5 CCDS 12-ter;276/2021;Mono;;E
"LINESTRING (663930.093810882 5106063.44191033,663845.228383417 5106044.84156123)";Percorso ciclopedonale di collegamento tra via Pranzelores e via dei Solteri (lato nord scuola primaria Golfer);Ciclopedonale;;;2022;;"0";2.1 PRO PED;;;;E
"LINESTRING (662630.023502592 5108909.75135801,662669.514812407 5108900.31084812,662700.680793338 5108895.34187817,662710.075721808 5108894.18903735,662719.925945516 5108895.70382551,662728.691719868 5108896.57908434,662737.82961802 5108895.94143924)";Percorso ciclopedonale in via delle Palazzine nel tratto compreso tra la linea ferroviaria Trento-Male e il civ.1/B;Ciclopedonale;;;2019;;"0";2.1 PRO PED;127/2019;Mono;;E
"LINESTRING (663776.029274439 5105866.6336244,663814.184709779 5105776.01284743,663818.414191469 5105769.84911335,663824.182584465 5105765.24973167,663837.774013737 5105760.3892002,663848.773912753 5105760.08120302,663858.576115631 5105761.8677971,663861.896938237 5105753.40055422)";Pista ciclabile - via del Brennero: tratto dalla rotatoria del Tridente al civ. 260/H di via del Brennero;Ciclabile;;;;;"0";1.3 PCCR marc;;;;E
"LINESTRING (663481.456487714 5107971.42561056,663491.172134322 5107962.07506762,663502.467806537 5107927.49285302,663506.73328389 5107913.35675314,663508.555183785 5107902.61928466,663507.307030971 5107894.33448003,663498.300898871 5107880.91439956,663487.215333519 5107858.95342175,663514.377595544 5107787.18620719,663518.475577049 5107689.17614954,663521.811754299 5107679.77180737,663529.480768265 5107679.64494801,663545.861126527 5107628.82286424,663559.5736031 5107586.68720826,663568.925407047 5107560.20794315,663581.429504459 5107536.19797459,663598.819656741 5107503.62427545,663615.894579678 5107470.68280874,663628.135985967 5107448.93198383,663643.844915068 5107421.24433956,663646.246354029 5107416.57966183,663637.283593603 5107410.16351599,663638.077343604 5107374.04789095,663649.719010282 5107342.56247426,663662.154426962 5107309.48955756,663672.666211229 5107299.59880618,663680.020975277 5107278.23071949,663680.41067698 5107268.14841168,663689.06 5107242.27)";Percorso ciclopedonale lungo fossa Malvasia;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (663875.628142149 5106898.68930046,663883.728308373 5106862.86911571,663880.777040691 5106855.20900123)";"Pista ciclabile via Trener-Centochiavi: tratto su via Centochiavi (lato ovest), dal parco di Melta all’intersezione con via Trener";Ciclopedonale;;;2024;;"2";2.1 PRO PED;;;;E
