wkb_geometry;descrizione;tipologia;tratto isolato ciclabile;tratto isolato ciclopedonale;anno;gestione;itinerario;Tipo CdS;Ordinanza;Monodirezionale;intervento 2026;Esist_prog
"LINESTRING (664529.601920476 5102428.1427144,664547.755185888 5102430.3523004,664571.973981509 5102430.69890213,664602.25830734 5102427.96941354,664625.372309958 5102423.26862762,664653.204539747 5102414.35703687,664668.113125778 5102407.89571722)";Pista ciclabile lungo il lato sud delle arcate della ferrovia Tn-Ve all'interno del Giardino Alexander Langer;Ciclabile;;;2016;;"0";1.3 PCCR marc;;;;E
"LINESTRING (665901.977235819 5101934.1707855,665909.850426902 5101935.18133892,665909.850426902 5101935.18133892,665909.850426902 5101935.18133892,665909.850426902 5101935.18133892,665922.468793703 5101955.09741738,665935.844182951 5101971.85599332,665961.808173843 5101998.84280809,665992.807605393 5102028.03262816,666029.078513882 5102063.67410657,666041.745794287 5102082.55700903,666059.251818449 5102094.16212617,666090.25125 5102122.87987368)";Pista ciclabile su via Valnigra (tratto dal civ. 29/A al civ 36);Ciclabile;300;;;;"10";1.3 PCCR marc;;;;E
"LINESTRING (664117.080480084 5102704.21461348,664107.354264371 5102701.21029712,664101.729863014 5102719.91978262)";Percorso ciclopedonale - via V. Veneto (antistante ex caserme duca d'Aosta): tratto tra i civ.50 e 72;Ciclopedonale;;;2020;;"0";2.1 PRO PED;1416/2020;;;E
"LINESTRING (664339.41958322 5103450.88750002,664405.300833287 5103437.12916667)";Pista ciclabile via S. Giovanni Bosco (tratto antistante scuole Crispi);Ciclabile;70;;2018;;"0";1.3 PCCR marc;;;;E
"LINESTRING (664360.511017062 5103014.23764879,664469.398666062 5103093.93662565)";Pista ciclabile - via B. Malfatti;Ciclabile;;;;;"8";1.3 PCCR marc;;;MANUTENZIONE;E
"LINESTRING (664017.047456075 5102320.03700585,664018.991510072 5102308.11708948)";Percorso ciclopedonale via S.Pio X n. 26;Ciclopedonale;;;;;"0";2.1 PRO PED;;;;E
"LINESTRING (665001.28919604 5102772.75090033,665006.076216421 5102895.05713138,665020.039542861 5103073.53749383,665021.614155327 5103095.18409953)";"Corsia ciclabile monodirezionale (sud-nord) su via Pasubio, tratto dall'intersezione con via Giraldi a piazza Vicenza (lato est)";Corsia ciclabile;;;2020;;"14";3.4 CC 12-bis;911/2020;Mono;;E
"LINESTRING (663653.42508293 5103027.13477572,663723.413961764 5103035.87010922)";Percorso ciclopedonale - via Taramelli;Ciclopedonale;;70;2016;;"0";2.1 PRO PED;;;;E
"LINESTRING (665108.33 5103502.95,665062.465 5103500.89,665025.620689413 5103504.93124177,664986.425 5103515.14,664942.970661328 5103538.28623456,664881.692117758 5103572.24140294,664838.247950011 5103596.3953698,664801.887950299 5103616.48985386,664662.52665186 5103692.55462865,664658.646739341 5103684.27077873)";Pista ciclabile via Grazioli: dall'intersezione con via Brigata Acqui al civ.101;Ciclabile;;;2024;;"15";1.3 PCCR marc;;;NESSUNO;E
"LINESTRING (666090.25125 5102122.87987368,666141.77432267 5102169.88916641)";Percorso ciclopedonale su via Valnigra (tratto dal civ.36 all'intersezione con via Castel di Pietrapiana);Ciclopedonale;;40;;;"10";2.1 PRO PED;;;;E
"LINESTRING (664402.887031129 5103531.66822911,664583.218778068 5103471.01929379,664585.774179835 5103472.52930393,664588.261660144 5103476.83095065)";Percorso ciclopedonale in via Barbacovi da Largo Pigarelli a via Brigata Acqui (lato nord);Ciclopedonale;;244;2020;;"14";2.1 PRO PED;715/2020;;;E
"LINESTRING (663899.171819113 5102845.32193253,663896.876259599 5102855.55261643,663895.041453348 5102860.67139879,663890.63226395 5102864.76239927,663886.223074552 5102866.98972175,663882.268440762 5102871.4443667,663879.950207161 5102876.58084508,663876.49558454 5102883.58100144,663870.950006122 5102887.58109079,663861.762084606 5102887.94450822,663677.585215615 5102866.86925449,663671.470611628 5102863.3292206,663668.896041528 5102855.6055103)";Pista ciclabile via Maestri: tratto tra corso del Lavoro e Scienza a rotatoria via Giusti;Ciclabile;;;2019;;"8";1.3 PCCR marc;1649/2019;;MANUTENZIONE;E
